id,name,description,symptoms,treatment_organic,treatment_inorganic,treatment_homemade,prevention
Apple___Apple_scab,Apple Scab,"A fungal disease that causes dark, scabby spots on leaves and fruit.",Olive-green velvety spots on leaves; Leaves turning yellow and dropping; Scabby spots on fruit,Apply sulfur or copper-based fungicides.; Remove infected leaves/fruit.,Captan; Myclobutanil,"Baking soda solution (1 tbsp baking soda, 1 tsp oil, 1 gal water).",Plant resistant varieties. Rake and destroy fallen leaves in autumn.
Apple___Black_rot,Black Rot,"A fungal disease causing firm, brown rot on fruit and cankers on branches.",Frog-eye leaf spots; Fruit rot with concentric bands; Cankers on limbs,Prune out cankers.; Copper fungicides.,Captan; Thiophanate-methyl,Neem oil spray.,Remove mummified fruit. Prune dead wood.
Apple___Cedar_apple_rust,Cedar Apple Rust,A fungal disease requiring both apple and cedar/juniper trees to complete its cycle.,Bright orange spots on leaves; Tube-like structures on underside of leaves,Sulfur sprays.; Remove nearby galls on cedar trees.,Myclobutanil; Mancozeb,Garlic water spray.,Remove nearby Eastern Red Cedar trees if possible. Plant resistant varieties.
Apple___healthy,Healthy Apple,Your apple tree looks healthy!,,,,,Continue regular watering and fertilization.
Banana___Healthy,Banana   Healthy,No detailed description available yet.,,,,,
Banana___Panama_Disease,Banana   Panama Disease,No detailed description available yet.,,,,,
Banana___Sigatoka,Banana   Sigatoka,No detailed description available yet.,,,,,
Blueberry___healthy,Healthy Blueberry,Your blueberry plant looks healthy!,,,,,Maintain acidic soil (pH 4.5-5.5).
Cherry_(including_sour)___Powdery_mildew,Powdery Mildew,A common fungal disease appearing as white powder on leaves.,White powdery growth on leaves; Curling leaves; Stunted growth,Neem oil; Sulfur dust,Myclobutanil; Propiconazole,"Milk spray (40% milk, 60% water).",Ensure good air circulation. Prune interior branches.
Cherry_(including_sour)___healthy,Healthy Cherry,Your cherry tree looks healthy!,,,,,Water deeply during drought.
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Gray Leaf Spot,A fungal disease causing rectangular gray/brown lesions.,Rectangular lesions restricted by leaf veins; Gray to tan spots,Crop rotation.; Resistant hybrids.,Azoxystrobin; Pyraclostrobin,Compost tea spray.,Rotate crops. Plow under residue.
Corn_(maize)___Common_rust_,Common Rust,Fungal pustules on leaves.,Reddish-brown oval pustules on both leaf surfaces,Early planting.; Resistant varieties.,Headline; Tilt (Propiconazole),Baking soda and soap solution.,Plant resistant hybrids.
Corn_(maize)___Northern_Leaf_Blight,Northern Leaf Blight,Cigar-shaped gray lesions on leaves.,"Large, cigar-shaped gray/green lesions; Leaves drying out",Bio-fungicides (Bacillus subtilis).,Mancozeb; Chlorothalonil,Diluted vinegar spray (caution recommended).,Crop rotation. Tillage to bury residue.
Corn_(maize)___healthy,Healthy Corn,Your corn plant looks healthy!,,,,,Ensure adequate nitrogen fertilization.
Grape___Black_rot,Black Rot,"Fungal infection causing shriveled, black mummified berries.",Brown leaf spots with black dots; Shriveled black fruit,Copper spray.; Remove mummies.,Mancozeb; Myclobutanil,Baking soda mix.,Remove all mummified fruit during winter.
Grape___Esca_(Black_Measles),Esca (Black Measles),A complex fungal trunk disease.,Tiger-stripe pattern on leaves; Small black spots on berries,Prune and remove infected vines.; Wound protection.,No effective chemical cure; focus on prevention.,None reliable.,Avoid pruning wounds during heavy rain.
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Isariopsis Leaf Spot,Fungal leaf spot disease.,Irregular brown spots on leaves; Premature defoliation,Sulfur or Copper fungicides.,Mancozeb,Neem oil.,Remove infected leaves.
Grape___healthy,Healthy Grape,Your grapevine looks healthy!,,,,,Prune vines annually for airflow.
Orange___Haunglongbing_(Citrus_greening),Citrus Greening (HLB),A devastating bacterial disease spread by psyllids. NO CURE.,"Mottled yellow leaves (asymmetrical); Misshapen, green fruit; Bitter fruit",Control psyllids (vectors).; Remove infected trees immediately.,Imidacloprid (for vector control).,None. Tree removal is required.,Use certified disease-free nursery trees. Control psyllids.
Peach___Bacterial_spot,Bacterial Spot,Bacterial infection causing leaf loss and spotted fruit.,Small purple/black spots on leaves; Shot-hole appearance; Cracked fruit,Copper sprays (careful of phytotoxicity).; Oxytetracycline.,Copper ammonium carbonate,Garlic/Pepper spray (limited efficacy).,Plant resistant varieties.
Peach___healthy,Healthy Peach,Your peach tree looks healthy!,,,,,Prune for open center to allow light/air.
"Pepper,_bell___Bacterial_spot",Bacterial Spot,Common bacterial disease in humid conditions.,Water-soaked spots on leaves; Brown spots with yellow halos,Copper soaps.; Remove infected plants.,Copper hydroxide,Hydrogen peroxide dilute spray.,Select resistant varieties. Avoid overhead watering.
"Pepper,_bell___healthy",Healthy Pepper,Your pepper plant looks healthy!,,,,,Mulch to retain soil moisture.
Potato___Early_Blight,Potato   Early Blight,No detailed description available yet.,,,,,
Potato___Early_blight,Early Blight,Fungal disease starting on older leaves.,Concentric rings inside dark spots (target board); Yellowing lower leaves,Copper fungicides.; Serenade (Bacillus subtilis).,Chlorothalonil; Mancozeb,Baking soda spray.,Rotate with non-solanaceous crops.
Potato___Healthy,Potato   Healthy,No detailed description available yet.,,,,,
Potato___Late_Blight,Potato   Late Blight,No detailed description available yet.,,,,,
Potato___Late_blight,Late Blight,A devastating water mold disease (Phytophthora infestans) that kills plants rapidly. This is the same pathogen that caused the Irish Potato Famine.,"Large, dark, water-soaked spots on leaves; White fungal growth on undersides in humid weather; Brown, firm rot on tubers; Rapid plant collapse","Copper fungicides (preventative, apply every 5-7 days).; Remove and destroy all infected plants immediately (do not compost).; Serenade (Bacillus subtilis) can supress mild infections.",Chlorothalonil (Bravo); Mancozeb; Mefenoxam (Ridomil Gold) for commercial use,None reliable for late blight. Immediate removal is the only home remedy to stop spread.,Plant certified disease-free seed tubers. Destroy volunteer potatoes. Avoid overhead irrigation.
Potato___healthy,Healthy Potato,Your potato plant looks healthy!,,,,,Hill soil around stems.
Raspberry___healthy,Healthy Raspberry,Your raspberry plant looks healthy!,,,,,Prune out old canes.
Rice___Bacterial_Blight,Rice   Bacterial Blight,No detailed description available yet.,,,,,
Rice___Brown_Spot,Rice   Brown Spot,No detailed description available yet.,,,,,
Rice___Healthy,Rice   Healthy,No detailed description available yet.,,,,,
Rice___Leaf_Blast,Rice   Leaf Blast,No detailed description available yet.,,,,,
Soybean___healthy,Healthy Soybean,Your soybean plant looks healthy!,,,,,Crop rotation.
Squash___Powdery_mildew,Powdery Mildew,Common white fungal growth on cucurbits.,White powdery patches on leaves; Yellowing leaves,Neem oil.; Sulfur.,Myclobutanil,Milk spray (1 part milk : 2 parts water).; Baking soda.,Space plants for airflow. Water at base.
Strawberry___Leaf_scorch,Leaf Scorch,Fungal disease causing irregular purple spots.,Irregular purple blotches; Leaves drying up (scorched appearance),Remove old leaves.; Copper fungicide.,Captan,Chamomile tea spray (mild).,Renovate beds annually.
Strawberry___healthy,Healthy Strawberry,Your strawberry plant looks healthy!,,,,,Mulch with straw.
Tomato___Bacterial_spot,Bacterial Spot,"A serious bacterial disease (Xanthomonas spp.) affecting all above-ground plant parts, thriving in warm, wet conditions.","Small, water-soaked spots on leaves that turn necrotic; Spots may have yellow halos; Scabby, raised spots on fruit; Leaf yellowing and drop",Copper-based bactericides (apply early at first sign).; Agri-Strep (Streptomycin) if permitted.; Remove severely infected plants.,Fixed Copper + Mancozeb (tank mix is more effective than copper alone); Actigard (systemic acquired resistance inducer),Diluted hydrogen peroxide spray (temporary reduction of surface bacteria).,Use disease-free certified seeds. Avoid overhead watering. Stake plants to keep foliage dry.
Tomato___Early_Blight,Tomato   Early Blight,No detailed description available yet.,,,,,
Tomato___Early_blight,Early Blight,Common fungal disease affecting older leaves first.,Brown spots with concentric rings (target pattern); Lower leaves yellowing,Copper fungicide.; Neem oil.,Chlorothalonil; Mancozeb,"Baking soda mix (1 tbsp soda, 1 tsp soap, 1 gal water).",Stake plants. Mulch to stop soil splash.
Tomato___Healthy,Tomato   Healthy,No detailed description available yet.,,,,,
Tomato___Late_Blight,Tomato   Late Blight,No detailed description available yet.,,,,,
Tomato___Late_blight,Late Blight,A highly destructive disease caused by Phytophthora infestans. Can destroy a crop in days if cool and wet.,"LARGE, dark, greasy-looking spots on leaves/stems; White fuzz on leaf undersides in morning; Firm, brown rot on fruit (greasy appearance); Rapid plant death","Copper spray (preventative only, apply before rain).; Pull and bag infected plants immediately.; Biofungicides (Bacillus amyloliquefaciens).",Chlorothalonil (Daconil); Propamocarb; Cymoxanil,No effective home cure. Prevention and removal are key.,Avoid planting near potatoes. Destroy volunteer tomato/potato plants. Ensure good airflow.
Tomato___Leaf_Mold,Leaf Mold,Fungus common in greenhouses or humid areas.,Pale yellow spots on upper leaf; Olive-green fuzzy mold on underside,Copper fungicide.; Reduce humidity.,Chlorothalonil,Vinegar solution (caution).,Increase spacing/air circulation.
Tomato___Septoria_leaf_spot,Septoria Leaf Spot,Fungus causing many small spots.,Many small circular spots with dark borders; Lower leaves dropping,Copper fungicide.; Remove lower infected leaves.,Chlorothalonil,Baking soda spray.,Mulch. Do not handle wet plants.
Tomato___Spider_mites Two-spotted_spider_mite,Spider Mites,Tiny pests that suck plant sap.,Stippling (tiny yellow dots) on leaves; Fine webbing between leaves; Bronzing,Neem oil.; Insecticidal soap.; Predatory mites.,Specific miticides (abamectin).,Blast with strong water spray.; Rosemary oil spray.,Keep plants watered (mites like dry/dusty).
Tomato___Target_Spot,Target Spot,Fungal disease with bullseye lesions.,Brown/black lesions with concentric rings; Fruit pitting,Copper fungicide.,Chlorothalonil; Azoxystrobin,Baking soda mix.,Improve airflow. Remove crop debris.
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Yellow Leaf Curl Virus,Viral disease spread by whiteflies.,Leaves curling upward; Yellowing edges; Stunted growth,Control whiteflies (Neem/Soap).; Remove infected plants (No cure).,Imidacloprid (for vector control).,Yellow sticky traps for whiteflies.,Use virus-resistant varieties. Trap whiteflies.
Tomato___Tomato_mosaic_virus,Mosaic Virus,Highly contagious virus.,Mottled light/dark green pattern; Distorted leaves; Fern-like growth,Remove and burn infected plants immediately (No cure).; Sanitize tools.,None.,Milk dip for tools (prevents spread).,Wash hands (smokers can transmit TMV). Plant resistant varieties.
Tomato___healthy,Healthy Tomato,Your tomato plant looks healthy!,,,,,Regular watering and pruning.
