ID,Type,Name (DB),Status,Missing Symptoms,Missing Treatments
Apple_Cedar_apple_rust,Disease,SAME,MISSING RECORD,YES,YES
Apple_healthy,Disease,SAME,MISSING RECORD,YES,YES
Background_without_leaves,Pest/Insect,SAME,MISSING RECORD,YES,YES
Blueberry_healthy,Disease,SAME,MISSING RECORD,YES,YES
Ceroplastes_rubens,Pest/Insect,SAME,MISSING RECORD,YES,YES
Cherry_Powdery_mildew,Disease,SAME,MISSING RECORD,YES,YES
Cherry_healthy,Disease,SAME,MISSING RECORD,YES,YES
Chlumetia_transversa,Pest/Insect,SAME,MISSING RECORD,YES,YES
Cicadella_viridis,Pest/Insect,SAME,MISSING RECORD,YES,YES
Colomerus_vitis,Pest/Insect,SAME,MISSING RECORD,YES,YES
Corn_Cercospora_leaf_spot_Gray_leaf_spot,Disease,SAME,MISSING RECORD,YES,YES
Corn_Common_rust,Disease,SAME,MISSING RECORD,YES,YES
Corn_Northern_Leaf_Blight,Disease,SAME,MISSING RECORD,YES,YES
Corn_healthy,Disease,SAME,MISSING RECORD,YES,YES
Dacus_dorsalisHendel,Pest/Insect,SAME,MISSING RECORD,YES,YES
Dasineura_sp,Pest/Insect,SAME,MISSING RECORD,YES,YES
Deporaus_marginatus_Pascoe,Pest/Insect,SAME,MISSING RECORD,YES,YES
Erythroneura_apicalis,Pest/Insect,SAME,MISSING RECORD,YES,YES
Grape_Black_rot,Disease,SAME,MISSING RECORD,YES,YES
Grape_Esca_(Black_Measles),Disease,SAME,MISSING RECORD,YES,YES
Grape_Leaf_blight_(Isariopsis_Leaf_Spot),Disease,SAME,MISSING RECORD,YES,YES
Grape_healthy,Disease,SAME,MISSING RECORD,YES,YES
Locustoidea,Pest/Insect,SAME,MISSING RECORD,YES,YES
Mango_flat_beak_leafhopper,Pest/Insect,SAME,MISSING RECORD,YES,YES
Miridae,Pest/Insect,SAME,MISSING RECORD,YES,YES
Nipaecoccus_vastalor,Pest/Insect,SAME,MISSING RECORD,YES,YES
Orange_Haunglongbing_(Citrus_greening),Disease,SAME,MISSING RECORD,YES,YES
Papilio_xuthus,Pest/Insect,SAME,MISSING RECORD,YES,YES
Parlatoria_zizyphus_Lucus,Pest/Insect,SAME,MISSING RECORD,YES,YES
Peach_Bacterial_spot,Disease,SAME,MISSING RECORD,YES,YES
Peach_healthy,Disease,SAME,MISSING RECORD,YES,YES
Pepper_bell_Bacterial_spot,Disease,SAME,MISSING RECORD,YES,YES
Pepper_bell_healthy,Disease,SAME,MISSING RECORD,YES,YES
Phyllocnistis_citrella_Stainton,Pest/Insect,SAME,MISSING RECORD,YES,YES
Phyllocoptes_oleiverus_ashmead,Pest/Insect,SAME,MISSING RECORD,YES,YES
Pieris_canidia,Pest/Insect,SAME,MISSING RECORD,YES,YES
Polyphagotars_onemus_latus,Pest/Insect,SAME,MISSING RECORD,YES,YES
Potato_Early_blight,Disease,SAME,MISSING RECORD,YES,YES
Potato_Late_blight,Disease,SAME,MISSING RECORD,YES,YES
Potato_healthy,Disease,SAME,MISSING RECORD,YES,YES
Potosiabre_vitarsis,Pest/Insect,SAME,MISSING RECORD,YES,YES
Prodenia_litura,Pest/Insect,SAME,MISSING RECORD,YES,YES
Pseudococcus_comstocki_Kuwana,Pest/Insect,SAME,MISSING RECORD,YES,YES
Raspberry_healthy,Disease,SAME,MISSING RECORD,YES,YES
Rhytidodera_bowrinii_white,Pest/Insect,SAME,MISSING RECORD,YES,YES
Rice_Stemfly,Disease,SAME,MISSING RECORD,YES,YES
Salurnis_marginella_Guerr,Pest/Insect,SAME,MISSING RECORD,YES,YES
Scirtothrips_dorsalis_Hood,Pest/Insect,SAME,MISSING RECORD,YES,YES
Soybean_healthy,Disease,SAME,MISSING RECORD,YES,YES
Squash_Powdery_mildew,Disease,SAME,MISSING RECORD,YES,YES
Sternochetus_frigidus,Pest/Insect,SAME,MISSING RECORD,YES,YES
Strawberry_Leaf_scorch,Disease,SAME,MISSING RECORD,YES,YES
Strawberry_healthy,Disease,SAME,MISSING RECORD,YES,YES
Tetradacus_c_Bactrocera_minax,Pest/Insect,SAME,MISSING RECORD,YES,YES
Thrips,Pest/Insect,SAME,MISSING RECORD,YES,YES
Tomato_Bacterial_spot,Disease,SAME,MISSING RECORD,YES,YES
Tomato_Early_blight,Disease,SAME,MISSING RECORD,YES,YES
Tomato_Late_blight,Disease,SAME,MISSING RECORD,YES,YES
Tomato_Leaf_Mold,Disease,SAME,MISSING RECORD,YES,YES
Tomato_Septoria_leaf_spot,Disease,SAME,MISSING RECORD,YES,YES
Tomato_Spider_mites_Two_spotted_spider_mite,Disease,SAME,MISSING RECORD,YES,YES
Tomato_Target_Spot,Disease,SAME,MISSING RECORD,YES,YES
Tomato_Tomato_YellowLeaf_Curl_Virus,Disease,SAME,MISSING RECORD,YES,YES
Tomato_Tomato_mosaic_virus,Disease,SAME,MISSING RECORD,YES,YES
Tomato_healthy,Disease,SAME,MISSING RECORD,YES,YES
Toxoptera_aurantii,Pest/Insect,SAME,MISSING RECORD,YES,YES
Toxoptera_citricidus,Pest/Insect,SAME,MISSING RECORD,YES,YES
Trialeurodes_vaporariorum,Pest/Insect,SAME,MISSING RECORD,YES,YES
Unaspis_yanonensis,Pest/Insect,SAME,MISSING RECORD,YES,YES
Xylotrechus,Pest/Insect,SAME,MISSING RECORD,YES,YES
alfalfa_plant_bug,Pest/Insect,SAME,MISSING RECORD,YES,YES
alfalfa_seed_chalcid,Pest/Insect,SAME,MISSING RECORD,YES,YES
alfalfa_weevil,Pest/Insect,SAME,MISSING RECORD,YES,YES
aphids,Pest/Insect,SAME,MISSING RECORD,YES,YES
army_worm,Pest/Insect,SAME,MISSING RECORD,YES,YES
asiatic_rice_borer,Pest/Insect,SAME,MISSING RECORD,YES,YES
beet_army_worm,Pest/Insect,SAME,MISSING RECORD,YES,YES
beet_fly,Pest/Insect,SAME,MISSING RECORD,YES,YES
beet_weevil,Pest/Insect,SAME,MISSING RECORD,YES,YES
bird_cherry-oataphid,Pest/Insect,SAME,MISSING RECORD,YES,YES
black_cutworm,Pest/Insect,SAME,MISSING RECORD,YES,YES
blister_beetle,Pest/Insect,SAME,MISSING RECORD,YES,YES
brown_plant_hopper,Pest/Insect,SAME,MISSING RECORD,YES,YES
cabbage_army_worm,Pest/Insect,SAME,MISSING RECORD,YES,YES
cerodonta_denticornis,Pest/Insect,SAME,MISSING RECORD,YES,YES
corn_borer,Pest/Insect,SAME,MISSING RECORD,YES,YES
english_grain_aphid,Pest/Insect,SAME,MISSING RECORD,YES,YES
flax_budworm,Pest/Insect,SAME,MISSING RECORD,YES,YES
flea_beetle,Pest/Insect,SAME,MISSING RECORD,YES,YES
grain_spreader_thrips,Pest/Insect,SAME,MISSING RECORD,YES,YES
green_bug,Pest/Insect,SAME,MISSING RECORD,YES,YES
grub,Pest/Insect,SAME,MISSING RECORD,YES,YES
large_cutworm,Pest/Insect,SAME,MISSING RECORD,YES,YES
legume_blister_beetle,Pest/Insect,SAME,MISSING RECORD,YES,YES
longlegged_spider_mite,Pest/Insect,SAME,MISSING RECORD,YES,YES
lytta_polita,Pest/Insect,SAME,MISSING RECORD,YES,YES
meadow_moth,Pest/Insect,SAME,MISSING RECORD,YES,YES
mole_cricket,Pest/Insect,SAME,MISSING RECORD,YES,YES
odontothrips_loti,Pest/Insect,SAME,MISSING RECORD,YES,YES
paddy_stem_maggot,Pest/Insect,SAME,MISSING RECORD,YES,YES
parathrene_regalis,Pest/Insect,SAME,MISSING RECORD,YES,YES
peach_borer,Pest/Insect,SAME,MISSING RECORD,YES,YES
penthaleus_major,Pest/Insect,SAME,MISSING RECORD,YES,YES
red_spider,Pest/Insect,SAME,MISSING RECORD,YES,YES
rice_gall_midge,Pest/Insect,SAME,MISSING RECORD,YES,YES
rice_leaf_caterpillar,Pest/Insect,SAME,MISSING RECORD,YES,YES
rice_leaf_roller,Pest/Insect,SAME,MISSING RECORD,YES,YES
rice_leafhopper,Pest/Insect,SAME,MISSING RECORD,YES,YES
rice_shell_pest,Pest/Insect,SAME,MISSING RECORD,YES,YES
rice_water_weevil,Pest/Insect,SAME,MISSING RECORD,YES,YES
sericaorient_alismots_chulsky,Pest/Insect,SAME,MISSING RECORD,YES,YES
small_brown_plant_hopper,Pest/Insect,SAME,MISSING RECORD,YES,YES
tarnished_plant_bug,Pest/Insect,SAME,MISSING RECORD,YES,YES
therioaphis_maculata_Buckton,Pest/Insect,SAME,MISSING RECORD,YES,YES
wheat_blossom_midge,Pest/Insect,SAME,MISSING RECORD,YES,YES
wheat_phloeothrips,Pest/Insect,SAME,MISSING RECORD,YES,YES
wheat_sawfly,Pest/Insect,SAME,MISSING RECORD,YES,YES
white_backed_plant_hopper,Pest/Insect,SAME,MISSING RECORD,YES,YES
white_margined_moth,Pest/Insect,SAME,MISSING RECORD,YES,YES
wireworm,Pest/Insect,SAME,MISSING RECORD,YES,YES
yellow_cutworm,Pest/Insect,SAME,MISSING RECORD,YES,YES
yellow_rice_borer,Pest/Insect,SAME,MISSING RECORD,YES,YES
